id,lr,hgb,rf,et,gnb,dt,knn,label
001f910b-a19c-4c82-adb4-04d07aea5a89,0.02562932832279418,0.0007785993161910998,0.104,0.024,0.0,0.34732824427480924,0.02,0
00490a9b-9e03-409f-afba-dc1128d007dd,0.02559214934302793,0.0004056107556570685,0.052,0.036,0.0,0.0,0.06,0
005e43a2-6a3d-4237-851f-92d2ccfb060a,0.0006352881135509681,0.012088475481581094,0.352,0.176,1.0,0.4678663239074546,0.2,1
0098474f-1139-4c30-aa47-22ad3fda4b8f,0.013163150277512428,0.02119395635225994,0.152,0.096,0.0,0.0,0.24,0
00d55fbd-c109-4eb6-989b-605aeaffd981,0.0016547667159593333,0.01719955436589663,0.164,0.06,0.0,0.0,0.1,0
00f75d0a-34f9-4eb5-9419-d422a136022c,1.8133847992380023e-09,0.0014252118060796948,0.18,0.064,0.0,0.7492083597213433,0.18,0
01019aa8-5e23-422e-8ff9-aafb017c66f7,0.004943438519230029,0.004747319323261176,0.124,0.092,1.0,0.5432835820895522,0.04,0
012482cb-26c0-4617-825e-c59d59323890,0.8772168749062773,0.00028700775464022573,0.096,0.116,1.0,0.0,0.12,1
01378b0f-c978-4a50-9787-c6f947abb413,4.328462941070277e-06,0.001255339068619018,0.184,0.052,1.0,0.31487889273356406,0.1,0
0150186a-1572-405f-94f5-65b93d40573c,1.425513142554853e-06,0.0007095977003704397,0.048,0.02,0.0,0.0,0.02,0
015ce771-36d8-455d-b989-3443872ff3d1,5.855818198270723e-08,0.008109985249882674,0.28,0.14,0.0,0.7520661157024793,0.24,0
01ada5f7-b61a-4992-a231-c0b4edc9902e,0.0017464781698474585,0.003466036134657115,0.196,0.088,1.0,0.8348623853210996,0.12,0
01b588d1-c179-4047-8797-1df4114dbd53,3.3642888463843024e-09,0.0003110976627349418,0.108,0.036,0.0,0.0,0.04,0
01df7c2b-d86f-42f1-ad72-7190250a24d0,0.0008939024517807041,0.0003497580272096872,0.088,0.044,0.0,0.0,0.06,0
0208be44-bc06-4ac1-867f-803dabdcab43,0.5694024624015349,0.0007605971516445149,0.112,0.048,0.0,0.0,0.12,0
022d8177-b699-41c7-b878-028426ef7305,0.6610709008292579,0.15265794549070363,0.472,0.228,1.0,0.24010554089709743,0.18,0
025df738-8408-476c-9d45-f1f77ecef806,0.00012030601448683542,0.0017931917436766237,0.064,0.068,0.0,0.0,0.04,0
025ff581-c1b6-4d8e-9638-0460fae7492f,0.09640805261510928,0.01532639041481968,0.2,0.128,0.0,0.0,0.22,0
0274c465-a4a1-44d7-9a1b-0d3b64cff02c,1.4529527040942147e-06,0.0011827339593005108,0.144,0.068,0.0,0.8762035763411277,0.18,0
02a3c24e-fb4b-40d8-9a69-386c3ec01ec7,0.9979256697496546,0.1812769273165944,0.5,0.324,0.0,0.8348623853210996,0.24,0
02ad0014-ad3c-412a-852b-cd7336578bba,3.5239896849468277e-07,0.0013193534826877668,0.108,0.072,0.0,0.7547393364928913,0.04,0
