id,lr,hgb,rf,et,gnb,dt,knn,label
18f41c84-4a6d-4cf9-bef0-c59ed0670a5c,0.0037180695084984188,0.024878741285992934,0.2542857142857143,0.088,1.0,0.7238636363636366,0.14,0
0cd5d60d-4a6f-400f-842b-d14fa5203018,1.6291688689192222e-09,0.005022038968635768,0.188,0.104,0.0,0.0,0.12,0
715da35c-bd62-4b6d-ad45-32ff1de2a0e1,0.05387315802917612,0.012235686613718443,0.168,0.088,1.0,0.7663157894736834,0.12,0
2f2e78a6-a5d9-4f5d-907e-72f5bc86379b,1.247289907911786e-10,0.012602869334738125,0.14,0.076,0.0,0.5762434889183949,0.08,0
b5018d33-b047-4738-8d6d-b99040cf8318,0.03563743451546269,0.0029825810804589435,0.112,0.088,1.0,0.11220715166461197,0.08,0
8bb69bf1-32f3-4b9b-ac62-36000517f712,1.4549361990917277e-11,0.0009202373632146726,0.068,0.088,0.0,0.13247374441093848,0.14,0
2de25218-f17f-495c-a13e-2cb9080f858e,0.0030796126575932613,0.04658549676155152,0.188,0.068,1.0,0.8530038346825718,0.12,0
cd79cf2c-377f-4b1d-85e2-0e24d9e47234,0.04035303887064019,0.002787003129836797,0.092,0.04,1.0,0.103249097472924,0.06,0
44a7d7c3-6618-4757-a592-a9d7e26c94bd,0.027465316536616224,0.0008452860180373584,0.064,0.028,0.0,0.13247374441093848,0.04,0
46a44d3d-fafc-4fae-ac04-f9e3a6f14d72,0.006086477754476805,0.2307611780038406,0.292,0.132,1.0,0.6447368421052646,0.1,0
e13e1846-26bf-4d2f-8aeb-283fc1843866,1.0924072748990272e-10,0.1515907374704567,0.26,0.144,0.0,0.5762434889183949,0.12,0
48d1877c-4323-4671-b863-d79c1c21128d,4.652172758503691e-08,0.018155316075400732,0.1,0.04,0.0,0.11805209060971962,0.08,0
b06f3304-5c48-430d-942b-1506b51a826f,6.910323733762563e-06,0.0010882197175411494,0.036,0.016,1.931002116550216e-174,0.11805209060971962,0.02,0
